S	SRR8069701	SRR8069702	SRR8069703	SRR8069704	SRR8069705	SRR8069706	SRR8069707	SRR8069708	SRR8069709	SRR8069710	SRR8069711	SRR8069712	SRR8069713	SRR8069714	SRR8069715	SRR8069716	SRR8069717_kraken_paired_report.txt	SRR8069718	SRR8069719	SRR8069720	SRR8069721	SRR8069722	SRR8069723	SRR8069724	SRR8069725	SRR8069726	SRR8069727	SRR8069728	SRR8069729	SRR8069730	SRR8069731	SRR8069732	SRR8069733	SRR8069734	SRR8069735	SRR8069736	SRR8069737	SRR8069738	SRR8069739	SRR8069740	SRR8069741	SRR8069742	SRR8069743	SRR8069744_kraken_paired_report.txt	SRR8069745	SRR8069746	SRR8069747	SRR8069748	SRR8069749	SRR8069750	SRR8069751	SRR8069752	SRR8069753	SRR8069754	SRR8069755	SRR8069756	SRR8069757	SRR8069758	SRR8069759	SRR8069760	SRR8069761	SRR8069762	SRR8069763_kraken_paired_report.txt	SRR8069764	SRR8069765	SRR8069766	SRR8069767	SRR8069768	SRR8069769_kraken_paired_report.txt	SRR8069770	SRR8069771	SRR8069772	SRR8069773	SRR8069774	SRR8069775	SRR8069776	SRR8069777	SRR8069778	SRR8069779	SRR8069780	SRR8069781	SRR8069782
Cutibacterium acnes	6934642	539272	4337385	1633289	5171974	4916671	41976422	7910223	14006564	946486	830721	21575556	9420080	6427086	472960	1646383	198877	2074788	492518	3637920	4271017	17971080	1040160	232206	5676228	3117852	669759	5461579	1507184	12251024	760316	3354967	2128210	1861749	7652774	1241719	2830064	11061461	9363591	12764085	708139	3730934	2002805	1237217	4386432	1196244	1354064	2263831	590903	4477432	2561706	28363270	293518	1746650	3851774	6927448	14883232	7149324	4741233	1699400	216178	3342456	554723	1315046	221575	6831766	10192519	13270238	273871	843773	15117236	9094618	272941	8127604	6505843	6447109	1360136	6446991	1860959	385033	12168705	1516590
Cutibacterium modestum	710697	108	449	152	1544	1435	3634	794	1424	88	115	3147	824	508	126	130	221	182	103	1795	461	2325	490	174	519	793	95	1077	634	777	188	1287	922	215	1499	121	272	1669	4652	29450	118	597	264	268	617	108	235	936	382	344	6555017	3187	66	272	1050	706	1727	1267	524331	166	170	257	159	212	311	1304	4428	11607	41	143	4700	2899	141	939	1700494	793	341	1593	2881	716	1375	28074
Cutibacterium namnetense	1049	94	500	352	1758	1984	9283	814	5421	112	160	3149	1008	494	115	263	29	219	189	1245	2079	1868	798	228	616	2907	100	1944	632	1086	152	1467	742	200	2553	136	430	4131	1159	9827	119	1145	9741	345	720	159	293	500	209	508	760	3102	31	439	1011	440	1827	5366	2066	448	148	303	77	250	74	1796	1256	5483	34	168	1855	2380	358	1691	2365	3467	639	1943	1374	266	2424	6826
Cutibacterium avidum	816	39	494	116	1118	24102	23824	757	13850	109	284	8139	789	343	341	250	31	159	120	842	4409	1476	479	612	467	17520	45	4275	2044	1224	115	4127	658	232	7904	159	1732	22062	1442	10992	56	1967	7311	507	344	117	175	419	212	292	494	3388	23	3134	515	442	1377	9587	3384	1586	27	250	783	169	44	7074	840	579096	146	6800	1350	3417	781	3515	1030	14014	15879	52788	963	601	5342	22318
Cutibacterium granulosum	450	0	7807	0	5917	97268	1137793	6875	388885	84	882	158633	6679	209	5651	2171	36	239	384	3453	70507	47430	10876	25265	36	382079	56	120892	43726	31715	58	187417	9731	251	253076	82	1047	533740	14286	188536	79	57368	28704	5978	1193	523	42	7263	27	89	4993	22655	227	43812	290	44	1239	243968	115307	47591	169	2164	1624	1482	78	321312	588	501454	2003	26804	2460	135	16607	96524	179	478894	29952	18897	18924	1862	116336	9395
Acidipropionibacterium timonense	50	0	28	0	34	185	2494	26	752	15	119	296	51	0	0	18	0	20	16	45	144	124	23	31	27	624	0	214	62	53	19	266	24	15	259	10	22	781	67	241	0	67	44	21	16	15	28	24	30	0	29	130	0	85	23	12	103	396	222	73	0	0	0	0	0	500	43	606	0	11	54	66	35	122	33	480	36	37	45	31	298	79
Acidipropionibacterium acidipropionici	29	0	27	0	20	127	407	25	440	0	90	183	32	0	0	14	0	0	26	33	89	63	21	12	20	185	0	147	24	47	0	542	84	12	79	14	0	312	52	452	0	42	16	21	12	0	0	40	0	0	50	51	0	91	21	13	115	170	238	132	0	16	0	0	0	189	21	247	0	27	52	0	20	72	23	844	54	61	41	19	140	42
Acidipropionibacterium virtanenii	21	0	15	0	0	67	339	21	234	0	102	67	24	0	10	0	0	0	16	18	54	31	0	10	0	153	0	29	11	11	0	47	0	0	68	0	0	177	19	101	0	25	19	0	0	0	0	15	0	0	0	61	0	16	28	0	134	84	73	15	0	0	0	0	0	74	0	293	0	0	36	0	22	30	0	204	16	24	18	0	59	34
Acidipropionibacterium jensenii	29	0	25	0	36	70	680	31	296	25	0	134	44	0	0	0	0	0	34	39	90	87	0	15	22	228	0	111	30	39	0	95	22	0	76	11	0	374	32	131	0	42	25	0	19	0	0	55	0	22	41	109	0	26	0	27	31	176	102	32	0	0	0	0	0	170	46	325	0	0	81	32	21	64	0	273	41	33	17	32	115	88
Acidipropionibacterium thoenii	17	0	25	0	41	98	408	23	222	0	0	148	25	0	15	0	0	0	14	17	51	60	0	21	0	338	0	73	29	34	0	82	16	0	94	0	0	280	30	423	0	16	46	0	0	0	0	29	0	0	0	61	0	29	0	0	22	153	83	24	0	0	0	0	0	245	0	288	0	0	49	0	0	68	0	219	23	0	30	0	123	41
Propionibacterium sp. oral taxon 192	31	0	0	0	0	18	51	0	27	0	0	13	0	0	0	0	0	0	18	0	12	88	10	0	0	22	0	0	0	0	0	0	0	0	13	0	0	36	19	20	0	0	0	0	0	0	0	10	0	0	0	21	0	0	0	0	0	20	14	0	0	0	0	0	0	22	17	59	0	0	18	0	0	0	0	14	17	0	17	46	19	29
Propionibacterium freudenreichii	11	0	14	0	0	73	145	0	73	0	38	152	0	0	0	0	0	0	33	16	201	50	13	0	19	45	0	26	19	16	0	137	13	17	259	15	0	73	29	29	0	14	15	18	0	0	0	63	0	15	41	47	0	0	0	11	45	107	108	0	0	0	0	18	0	225	14	140	0	0	45	0	11	10	0	32	54	0	23	56	36	395
Propionibacterium acidifaciens	10	0	16	0	0	18	51	0	35	0	0	14	11	0	0	0	0	0	18	0	54	20	13	13	0	56	0	14	0	0	0	26	23	0	10	0	0	38	12	38	0	0	18	0	0	0	0	12	0	0	0	20	0	11	0	12	18	55	28	26	0	0	0	0	0	34	0	63	0	0	13	0	0	15	0	18	16	0	21	47	29	22
Propionibacterium australiense	19	0	0	0	0	0	76	0	41	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	13	0	0	0	10	0	48	18	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	84	29	0	0	0	0	0	0	0	53	0	34	0	0	23	0	21	13	0	55	0	0	16	0	19	0
Tessaracoccus defluvii	23	0	0	0	0	0	37	0	68	0	0	61	0	0	16	0	0	0	18	0	22	34	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	24	0	0	0	18	19	0	0	0	0	0	0	0	0	30	0	21	0	0	24	0	0	16	13	0	0	46	0	0
Tessaracoccus aquimaris	15	0	0	0	0	0	47	0	51	0	0	17	0	0	0	0	0	0	28	0	39	0	0	0	0	23	0	14	0	0	0	0	0	0	0	14	0	14	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	17	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	15	0	0	16	14	27	23
Tessaracoccus flavescens	12	0	0	0	0	20	105	27	33	0	0	18	0	0	0	0	0	0	18	0	26	0	0	0	0	32	0	0	0	0	0	0	0	18	30	0	0	39	0	63	0	0	0	12	0	0	0	14	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	14	0	27	0	28	0	22	0	0	0	21	0	25	0	0	29	27	27	51
Tessaracoccus sp. J1M15	10	0	0	0	0	0	42	0	21	0	0	16	0	0	0	0	0	0	20	0	29	0	0	0	0	12	0	0	0	0	0	0	17	16	0	23	0	24	0	10	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	69	0	0	17	0	0	0	0	0	14	0	0	0	0	0
Arachnia rubra	21	0	0	0	0	13	12	0	11	0	16	17	0	0	0	0	0	0	25	0	34	65	0	0	0	3788	0	0	0	0	0	0	18	0	0	0	0	16	0	0	0	16	11	0	0	0	0	0	0	0	0	12	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	99	0	0	20	0	0	0	0	12	0	0	0	50	10	0
[Pseudopropionibacterium] massiliense	17	0	0	0	0	0	90	0	62	0	41	29	0	0	0	0	0	0	24	0	33	16	0	0	0	1231	0	0	0	0	0	0	0	0	0	0	0	49	0	22	0	0	0	0	0	0	0	0	23	0	42	0	12	0	0	0	52	18	33	0	0	0	0	71	0	20	0	152	0	0	0	0	13	0	0	43	133	0	15	29	164	0
Arachnia propionica	16	0	0	0	0	18	55	0	0	0	0	42	0	0	16	0	0	0	43	12	68	40	20	0	0	1555	0	20	0	0	0	0	0	0	0	19	14	31	0	33	0	0	15	0	0	0	0	37	61	0	10	40	12	0	0	0	13	15	14	0	0	0	0	0	0	23	43	237	0	0	28	0	12	14	0	0	19	0	51	51	18	12
Propionimicrobium sp. Marseille-P3275	22	0	0	0	0	0	29	15	175	0	198	34	11	0	14	10	0	0	29	58	0	35	0	0	0	0	0	0	0	13	0	0	0	0	24	0	0	13	0	0	0	0	0	17	0	0	0	20	0	0	14	35	0	0	0	0	208	12	80	0	0	12	0	0	0	44	37	10	17	0	29	0	0	0	0	0	24	0	20	17	20	0
Propionimicrobium lymphophilum	15	0	0	0	0	0	45	0	53	0	29	16	0	0	0	0	0	0	40	0	24	11	0	0	0	17	0	0	0	0	0	0	0	0	17	0	0	14	30	14	0	12	0	0	15	0	0	19	0	0	0	12	0	0	0	0	52	0	0	0	0	0	0	0	0	0	13	18	0	0	12	0	15	0	0	10	0	12	0	29	24	10
Aestuariimicrobium ganziense	21	0	0	0	0	12	73	0	34	0	42	15	0	21	0	0	0	0	25	0	16	59	0	0	0	12	0	20	0	0	0	0	0	0	15	0	0	24	13	22	0	0	0	0	0	0	0	21	0	0	12	13	0	0	12	12	49	16	19	0	0	0	0	0	0	18	10	34	0	0	16	0	0	0	40	17	19	0	15	34	21	30
Microlunatus phosphovorus	15	0	0	0	0	0	15	0	85	0	108	10	0	0	0	23	0	0	36	0	61	0	0	0	0	0	0	0	0	0	0	0	16	10	31	15	0	0	0	10	0	0	55	0	0	0	0	10	0	0	0	0	0	0	17	0	84	0	25	0	0	0	0	17	0	0	0	24	0	13	0	0	0	0	0	0	19	0	19	26	16	0
Brevilactibacter sp. MC1595	13	0	0	0	0	0	68	0	35	0	33	12	611	0	0	0	0	0	24	44	237	13	0	0	0	18	0	0	0	0	0	0	15	13	0	0	11	13	0	0	0	0	16	57	11	0	0	15	13	0	0	0	0	0	28	0	47	15	13	0	0	0	0	0	0	22	15	36	0	0	0	0	22	0	0	0	0	0	12	59	21	13
Nocardioides sp. IC4_145	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	53	0	0
Nocardioides rotundus	28	0	0	0	0	0	0	0	0	0	12	15	0	0	35	0	0	0	28	53	23	88	49	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	28	0	0	41	0	0	0	0	13	0	0	0	0	0	0	159	16	0	0	0	0	0	0	0	0	0	0	62	20	0	0	23	0	17	0	0	0	0	0	0	59	14	0
Nocardioides szechwanensis	20	0	0	0	0	21	26	0	0	0	0	43	0	0	0	0	0	0	40	15	57	13	0	0	0	29	0	0	0	0	0	0	23	65	0	27	26	51	0	30	0	0	0	31	20	0	0	22	0	0	51	0	0	0	0	0	19	14	0	0	0	0	0	0	0	0	0	11	0	0	27	0	26	0	0	0	27	0	25	41	0	0
Nocardioides aquaticus	22	0	0	0	0	0	0	0	15	0	25	0	0	0	0	0	0	0	34	20	85	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	14	0	0	0	0	0	0	0	0	0	0	25	0	102	0	0	0	0	0	20	18	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	29	0	0	0	19	0	17	50	0	0
Nocardioides humi	20	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	27	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	14	0	0	0	0	0	26	0	0	0	32	0	0	0	0	26	0	0	43	12	0	14	24	0	0
Nocardioides panacisoli	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	36	0	0	0	0	0	0	0	0	0	0	0	17	12	0	11	0	0	0	0	0	0	0	15	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	16	0	24	0	0	0	10	0	12	20	12	0
Nocardioides luti	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	42	0	0	0	0	0	0	0	0	0	0	0	30	17	0	30	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	53	0	0	0	28	0	20	46	0	0
Nocardioides okcheonensis	16	0	27	0	0	22	0	0	0	0	12	18	0	0	50	0	0	0	33	0	40	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	35	0	0	0	0	27	0	0	0	24	0	14	52	30	0
Kribbella sp. VKM Ac-2572	14	0	0	0	0	0	0	152	0	0	0	20	0	0	0	0	0	0	50	0	31	0	0	0	0	0	0	0	0	0	0	0	36	16	0	0	0	0	0	39	0	0	0	16	0	0	0	22	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	25	0	15	0	0	0	43	0	26	35	18	13
Kribbella sp. VKM Ac-2573	16	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	38	0	17	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	28	0	0
Gardnerella sp. 26-12	29768	1125	12096	1622	1191	16587	3414	0	2413	0	19649	14701	1132	1557	15601	0	0	0	50571	2452	53151	2325	7812	0	1625	7599	1839	0	0	615	0	4004	22463	20473	0	31883	19714	3130	1009	7018	5139	0	12563	724	6931	1596	0	22377	4578	5783	15316	2386	4548	5923	18883	28324	22705	6062	5006	0	1089	5709	0	21331	1501	0	1937	43449	0	6870	49108	1019	15163	8493	0	0	48397	0	39002	27289	32464	4734
Gardnerella sp. 30-4	317	0	132	0	35	170	47	0	28	0	213	74	0	0	207	0	0	0	1260	70	696	25	59	0	19	62	28	0	0	0	0	34	319	283	0	534	274	28	0	73	61	0	129	14	91	41	0	292	56	54	156	32	65	43	264	180	229	52	59	0	0	73	0	208	20	0	28	342	0	91	337	0	344	85	0	0	634	0	531	557	396	46
Gardnerella vaginalis	404	11	132	25	34	241	72	0	502	0	814	137	24	0	288	68	20	0	2407	111	763	51	82	0	15	101	73	0	27	13	0	71	390	430	91	812	330	31	52	168	63	0	161	62	126	40	0	559	252	64	207	28	62	70	381	250	1073	57	217	0	0	86	0	399	0	116	65	1174	44	79	447	17	503	97	67	0	897	22	621	848	490	81
Bifidobacterium animalis	705	29	311	37	42	437	175	0	321	0	1151	280	29	34	442	0	0	0	4691	135	1730	421	150	14	46	170	52	0	0	47	0	103	700	553	0	1179	537	123	92	226	153	0	282	77	186	58	0	850	136	155	310	82	136	159	497	501	1222	154	322	27	37	157	0	546	88	0	130	1017	0	150	976	44	909	224	18	0	2120	30	1046	1520	790	96
Bifidobacterium longum	86	0	25	0	0	68	35	0	29	0	76	330	29	0	23	0	0	0	131	81	338	396	116	0	0	59	0	49	0	0	0	21	99	71	0	36	25	0	47	46	0	0	60	0	28	0	0	52	0	0	25	0	13	0	130	48	64	79	46	0	0	0	0	60	35	93	52	61	0	21	47	0	60	23	0	18	67	0	38	169	66	0
Bifidobacterium thermophilum	20	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	32	13	0	0
Bifidobacterium bifidum	23	0	0	0	0	0	0	0	0	0	19	84	0	0	0	0	0	0	191	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	35	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	19	0	0	65	0	22	0	0	0	77	0	13	18	18	0
Mycobacterium tuberculosis	8451	1197	708	211	957	1540	3512	1079	8132	0	17241	6350	1509	1211	1685	1203	268	0	12366	1611	48110	14856	6469	311	333	5457	506	131	373	498	1247	2769	1499	4887	1272	2703	6402	4504	1871	1765	2117	116	4767	877	971	562	95	9421	3064	506	7454	1181	4598	301	1929	4540	23016	1179	3029	115	2137	1569	150	2135	3357	4413	2836	3657	1542	4551	4086	1113	3430	576	209	662	3273	396	4308	7905	2778	1647
Mycobacterium leprae	3774	758	590	246	494	1249	0	44	213	0	14259	190	234	207	1367	116	180	0	2511	520	1843	102	4519	1231	288	2661	367	0	0	153	40	0	135	236	50	47	2982	339	788	402	3708	0	341	973	0	1901	0	3448	773	515	0	1195	8903	528	353	67	2022	1873	306	0	1825	871	0	1783	4048	604	1892	341	879	87	532	364	3638	0	315	950	1384	252	2302	3685	403	292
Mycobacterium avium	169	22	163	21	28	191	50	0	25	0	150	110	0	11	508	0	0	0	1367	88	804	71	13	0	38	56	34	17	0	34	0	41	1496	234	0	538	111	54	0	110	20	0	153	30	125	28	0	231	104	99	67	56	19	88	157	477	147	52	223	0	0	49	0	165	40	0	98	465	0	79	249	17	327	121	0	0	621	22	429	885	286	64
Mycobacterium mantenii	12	0	0	0	0	0	15	0	95	0	90	0	0	0	0	18	0	0	35	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	22	17	0	0	0	32	0	0	0	0	0	0	0	17	0	0	0	0	0	10	0	0	62	0	38	0	0	10	0	0	0	0	0	17	0	0	0	0	11	0	0	0	14	0	0	15	16	10
Mycobacterium ostraviense	148	0	80	0	0	88	51	0	684	0	932	47	14	0	78	38	0	0	725	43	366	25	26	0	0	33	0	0	26	16	0	19	170	72	63	178	70	44	32	129	41	0	84	18	48	14	0	104	26	45	75	64	28	27	71	66	1032	107	232	12	11	75	0	64	37	171	52	158	49	48	175	0	202	73	0	0	321	10	228	255	185	43
Mycobacterium persicum	143	0	0	0	34	53	17	0	18	0	40	320	23	0	12	0	0	0	341	24	265	434	108	0	0	16	0	28	0	13	0	25	71	170	0	84	32	105	45	20	0	0	119	19	0	15	0	451	40	27	40	21	11	25	119	141	48	14	0	0	0	0	0	72	18	16	32	117	0	70	167	0	169	0	0	0	184	23	184	226	69	0
Mycobacterium sp. EPa45	17	0	28	0	0	10	0	0	0	0	0	31	0	0	0	0	0	0	31	0	314	0	0	0	0	0	0	0	0	0	0	0	44	16	0	0	21	0	0	0	0	0	24	0	15	0	0	14	0	10	0	0	0	0	14	12	0	0	11	0	0	0	0	0	0	0	0	20	0	36	13	0	15	20	0	0	25	0	23	33	27	0
Mycobacterium sp. Root135	25	0	48	0	0	31	0	0	0	0	52	27	0	0	28	0	0	0	156	0	294	0	14	0	0	0	0	0	0	0	0	0	94	166	0	87	0	0	0	71	13	0	0	25	0	0	0	182	0	26	0	0	0	27	47	45	0	47	0	0	0	29	0	44	0	0	0	48	0	22	51	0	33	0	0	0	45	0	86	88	105	55
Mycobacterium sp. ELW1	15	0	43	0	39	14	0	0	0	0	35	113	0	0	0	0	0	0	64	0	345	0	0	0	0	17	0	14	0	0	0	49	77	107	0	0	14	0	0	408	0	0	30	0	43	0	0	16	15	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	41	0	0	62	40	0	0	35	0	28	82	34	0
Mycobacterium sp. DL592	13	0	20	0	0	18	0	0	0	0	71	36	0	0	0	0	0	0	73	0	170	0	0	0	0	0	15	0	0	0	0	0	19	39	0	42	17	0	0	0	13	0	0	12	17	0	0	73	0	0	0	0	0	0	52	11	11	0	0	0	0	0	0	17	0	0	0	119	0	10	16	0	55	25	0	0	67	0	21	88	27	10
Mycobacterium sp. 4858	11	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1162	0	50	0	0	0	0	0	0	0	0	0	0	0	16	0	15	27	0	14	0	23	0	0	10	0	0	0	0	19	0	0	0	0	0	0	0	0	13	0	0	0	17	0	0	10	0	0	0	33	0	0	0	0	19	0	0	27	18	0	16	27	12	14
Mycobacterium sp. Root265	11	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	72	0	0	0	0	0	0	0	0	0	0	0	29	17	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	13	0	0	0	0	11	12	0	0	20	0	0	16	15	0
Mycobacterium gordonae	89	0	10	0	12	20	17	0	268	0	437	103	13	0	12	21	0	0	76	10	106	0	22	0	0	0	0	0	26	0	0	0	37	22	44	37	21	0	0	60	22	0	13	22	10	41	0	18	0	10	28	0	0	0	0	13	346	10	133	0	19	25	0	33	0	34	0	483	0	17	32	0	0	0	0	15	34	0	93	192	37	26
Mycobacterium paraffinicum	39	0	34	0	0	36	13	0	0	0	40	25	0	0	48	0	0	0	181	27	191	0	0	0	0	16	0	0	0	0	0	11	84	50	0	107	32	0	0	48	10	0	29	0	34	10	0	59	13	11	28	19	0	0	48	26	32	0	0	0	0	0	0	49	0	0	16	106	0	14	45	0	88	39	0	0	88	0	124	148	73	14
Mycobacterium simulans	39	0	0	0	0	27	0	58	13	0	50	194	0	0	0	0	0	0	188	17	499	0	0	0	0	30	0	0	0	0	0	0	31	26	14	42	164	32	21	32	0	0	0	0	0	0	0	47	0	16	57	0	0	0	68	13	109	0	12	0	0	0	0	24	0	10	0	27	0	88	33	0	87	0	0	0	97	0	43	90	40	30
Mycobacterium bohemicum	30	0	0	0	0	52	0	0	57	0	137	112	0	0	19	0	0	0	296	56	30	0	18	0	0	0	11	0	0	0	0	0	0	30	0	179	24	0	10	499	0	0	0	26	0	0	0	247	0	0	15	0	14	132	0	49	143	67	36	0	20	20	0	47	13	13	47	191	0	0	61	0	111	0	0	0	79	0	119	122	92	216
Mycobacterium kubicae	19	0	0	0	0	0	0	0	70	0	0	13	0	0	0	29	0	0	46	0	40	0	0	0	0	0	0	0	0	0	0	0	18	0	14	11	0	0	0	15	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	71	0	41	0	0	0	0	0	0	17	0	17	0	0	11	0	10	0	0	0	19	0	0	22	18	0
Mycobacterium paragordonae	17	0	0	0	0	13	0	0	0	0	13	11	0	0	0	0	0	0	102	0	132	0	17	0	0	0	0	0	0	0	0	0	23	15	0	79	21	0	0	22	0	0	11	24	0	0	0	40	0	0	0	0	0	17	0	0	38	0	0	0	0	29	0	32	0	0	0	46	0	36	0	0	19	0	0	0	42	0	47	44	16	0
Mycobacterium kansasii	14	0	19	0	0	19	0	0	150	0	161	0	0	0	10	28	0	0	75	0	47	0	0	0	103	0	0	0	0	0	0	0	30	0	31	30	10	0	12	75	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	10	221	15	67	0	0	35	0	0	0	22	43	45	0	0	15	0	27	19	0	0	21	0	30	49	26	0
Mycobacterium goodii	14	0	24	0	0	18	0	0	79	0	146	35	0	0	0	0	0	0	52	0	233	0	0	0	0	10	0	0	0	0	0	0	42	12	12	15	19	0	0	10	0	0	0	17	21	0	0	37	20	0	0	0	0	0	0	0	70	11	37	0	0	12	0	17	0	10	0	17	0	19	0	0	22	15	0	0	31	0	38	54	32	0
Mycobacterium frederiksbergense	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	70	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	18	13	0
Mycobacterium palauense	10	0	70	0	0	23	46	0	0	0	13	0	0	0	0	0	0	0	251	0	85	0	0	0	0	0	0	0	0	0	0	0	18	15	0	34	16	0	0	0	0	0	19	0	0	0	0	39	0	10	0	0	0	0	0	14	0	0	0	0	0	0	0	25	0	0	14	25	0	14	68	0	31	0	0	0	116	0	37	26	20	0
Mycobacterium talmoniae	10	0	0	0	0	0	33	0	97	0	168	13	0	0	0	0	0	0	57	0	51	0	0	0	0	0	0	0	0	0	0	0	25	16	0	20	0	0	0	0	0	0	0	0	0	0	0	27	11	0	0	0	0	0	0	13	173	0	35	0	0	0	0	15	0	15	0	32	0	0	0	0	0	0	0	0	34	0	35	33	38	11
Mycolicibacterium mageritense	681	23	446	25	43	414	212	0	93	0	593	248	22	18	493	0	0	0	8146	183	2137	276	66	0	74	540	48	19	0	34	0	97	1152	549	0	1584	341	160	60	222	145	0	350	50	333	101	0	612	109	160	324	163	63	143	483	332	461	113	198	25	18	93	0	477	21	0	138	989	0	214	1447	41	1008	281	15	17	3445	30	1203	1842	838	140
Mycolicibacterium austroafricanum	413	20	695	29	32	457	234	0	180	0	684	285	24	35	322	0	0	0	3388	135	5195	110	60	0	46	119	51	22	0	35	0	141	1494	490	0	831	367	142	55	195	93	0	609	61	429	54	0	566	198	328	217	108	72	144	380	362	578	95	301	22	26	119	0	375	15	0	114	748	0	541	601	33	900	452	17	22	1443	26	856	1362	675	103
Mycolicibacterium sphagni	53	0	1387	0	0	12	0	0	0	0	66	805	0	43	11	0	0	0	150	14	18089	0	107	0	0	0	0	0	0	0	0	359	2521	54	0	48	66	19	0	33	0	0	961	10	885	13	0	40	564	675	0	0	0	13	22	11	42	30	318	0	0	0	0	32	0	0	10	82	0	1349	19	0	30	639	0	20	28	0	36	260	51	13
Mycolicibacterium sp. JXJ CY 35	27	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	28	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	25	0	0	14	0	0	0	0	0	0	0	0	27	0	0
Mycolicibacterium obuense	22	0	37	0	0	12	0	0	0	0	19	98	0	0	14	0	0	0	99	12	355	0	0	0	0	0	0	0	0	0	0	0	88	19	0	26	32	0	0	16	0	0	35	0	54	0	0	33	14	145	0	0	0	21	0	11	23	0	18	0	0	0	0	13	0	0	12	62	0	40	0	0	32	0	0	0	42	0	41	54	21	0
Mycolicibacterium septicum	15	0	1603	0	0	0	0	0	0	0	16	10	0	48	0	0	0	0	64	0	20923	0	0	0	0	0	0	0	0	0	0	112	3090	39	0	0	0	0	0	0	0	0	714	0	717	0	0	11	292	539	0	0	0	0	11	10	19	0	201	0	0	0	0	0	0	0	0	17	0	1040	0	0	25	786	0	10	12	0	0	41	11	0
