espece,prop.uniq,Reads,FC,replicate,genome_total_unique_kmers,kmers,prop.uniq,nbre_kmer_unique,recall
M.restricta,0.79,20M,3,4,5761025,5160393,0.79,4076710.47,0.707636309510894
S.epidermidis,0.63,20M,3,4,1497340,1080783,0.63,680893.29,0.454735257189416
S.pyogenes,0.75,20M,3,4,1276451,69297,0.75,51972.75,0.0407166040842931
C.acnes,0.65,40M,3,4,1643688,2529342,0.65,1644072.3,1
M.restricta,0.79,40M,3,4,5761026,7277205,0.79,5748991.95,0.997911127288785
S.epidermidis,0.62,40M,3,4,1497341,2403357,0.62,1490081.34,0.99515163212655
S.pyogenes,0.76,40M,3,4,1276452,1030814,0.76,783418.64,0.613747042583662
C.acnes,0.35,40M,1.4,4,1643688,69,0.35,24.15,1.46925693927315E-05
M.restricta,0.84,40M,1.4,4,5761026,22668,0.84,19041.12,0.00330516126814911
S.epidermidis,0.19,40M,1.4,4,1497341,428,0.19,81.32,5.43096061618563E-05
S.pyogenes,1,40M,1.4,4,1276452,1,1,1,7.83421546599481E-07
C.acnes,0,40M,1.3,4,1643688,0,0,0,0
M.restricta,0.72,40M,1.3,4,5761026,326,0.72,234.72,4.07427426989568E-05
S.epidermidis,0,40M,1.3,4,1497341,2,0,0,0
S.pyogenes,0,40M,1.3,4,1276452,0,0,0,0
C.acnes,0,40M,1.2,4,1643688,0,0,0,0
M.restricta,0.25,40M,1.2,4,5761026,8,0.25,2,3.47160384278773E-07
S.epidermidis,0,40M,1.2,4,1497341,0,0,0,0
S.pyogenes,0,40M,1.2,4,1276452,0,0,0,0
